void, -1
p1, 61
(, -1
int, -1
a, 97
,, -1
int, -1
b, 98
,, -1
int, -1
c, 99
), -1
:, -1
if, -1
a, 97
>, -1
b, 98
and, -1
a, 97
>, -1
c, 99
:, -1
print, -1
(, -1
a, 97
), -1
;, -1
else, -1
if, -1
b, 98
>, -1
a, 97
and, -1
b, 98
>, -1
c, 99
:, -1
print, -1
(, -1
b, 98
), -1
;, -1
else, -1
if, -1
c, 99
>, -1
a, 97
and, -1
c, 99
>, -1
b, 98
:, -1
print, -1
(, -1
c, 99
), -1
;, -1
bool, -1
p2, 62
(, -1
int, -1
a, 97
), -1
:, -1
if, -1
a, 97
<, -1
2, 50
:, -1
return, -1
False, -1
;, -1
if, -1
a, 97
=, -1
=, -1
2, 50
:, -1
return, -1
True, -1
;, -1
if, -1
a, 97
%, -1
2, 50
=, -1
0, 48
;, -1
return, -1
False, -1
;, -1
int, -1
i, 5
;, -1
for, -1
i, 5
=, -1
3, 51
;, -1
i, 5
<, -1
a, 97
/, -1
2, 50
;, -1
i, 5
=, -1
i, 5
+, -1
1, 49
:, -1
if, -1
a, 97
%, -1
i, 5
=, -1
=, -1
0, 48
:, -1
return, -1
False, -1
;, -1
return, -1
True, -1
;, -1
int, -1
p3, 63
(, -1
int, -1
n, 10
), -1
:, -1
int, -1
x, 20
;, -1
int, -1
suma, 38
;, -1
int, -1
i, 5
;, -1
for, -1
i, 5
=, -1
1, 49
;, -1
i, 5
<, -1
n, 10
+, -1
1, 49
;, -1
i, 5
=, -1
i, 5
+, -1
1, 49
:, -1
read, -1
(, -1
x, 20
), -1
;, -1
suma, 38
=, -1
suma, 38
+, -1
x, 20
;, -1
return, -1
suma, 38
;, -1
void, -1
p1err, 90
(, -1
int, -1
a, 97
,, -1
int, -1
b, 98
,, -1
int, -1
c, 99
), -1
:, -1
if, -1
a, 97
>, -1
b, 98
print, -1
(, -1
num, 36
a, 97
), -1
;, -1
else, -1
if, -1
b, 98
print, -1
(, -1
num, 36
b, 98
), -1
;, -1
